CO(GT),PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,datetimestamp,DateTime
1.0,1075.0,3.9,703.0,88.0,1156.0,74.0,1464.0,1010.0,11.9,67.4,0.9375,1079326800,2004-03-15 05:00:00
1.4,1157.0,6.4,830.0,138.0,1030.0,80.0,1584.0,1083.0,11.4,70.5,0.9475,1079330400,2004-03-15 06:00:00
2.2,1314.0,9.7,966.0,228.0,897.0,89.0,1710.0,1235.0,11.3,70.2,0.9401,1079334000,2004-03-15 07:00:00
4.2,1564.0,20.1,1300.0,319.0,710.0,155.0,2029.0,1798.0,19.8,38.5,0.8801,1079348400,2004-03-15 11:00:00
3.1,1430.0,14.1,1120.0,201.0,831.0,134.0,1783.0,1522.0,22.0,34.1,0.8904,1079352000,2004-03-15 12:00:00
2.9,1417.0,14.9,1146.0,171.0,830.0,119.0,1831.0,1404.0,23.3,32.2,0.9096,1079355600,2004-03-15 13:00:00
2.9,1400.0,15.4,1162.0,159.0,838.0,111.0,1829.0,1263.0,23.9,30.0,0.8757,1079359200,2004-03-15 14:00:00
2.5,1317.0,12.1,1053.0,153.0,926.0,104.0,1707.0,1137.0,24.4,28.9,0.8736,1079362800,2004-03-15 15:00:00
2.3,1318.0,11.5,1033.0,143.0,950.0,99.0,1675.0,1068.0,24.4,29.4,0.8848,1079366400,2004-03-15 16:00:00
2.8,1445.0,14.8,1141.0,156.0,857.0,110.0,1824.0,1252.0,23.8,31.3,0.9137,1079370000,2004-03-15 17:00:00
4.2,1595.0,19.9,1294.0,256.0,678.0,145.0,2058.0,1707.0,16.7,57.4,1.0786,1079384400,2004-03-15 21:00:00
3.2,1439.0,15.3,1159.0,193.0,764.0,125.0,1856.0,1494.0,15.7,60.2,1.0654,1079388000,2004-03-15 22:00:00
1.4,1142.0,6.9,852.0,89.0,1008.0,101.0,1547.0,1164.0,15.3,61.4,1.058,1079391600,2004-03-15 23:00:00
2.1,1304.0,11.1,1019.0,127.0,852.0,103.0,1731.0,1272.0,14.1,65.7,1.0494,1079395200,2004-03-16 00:00:00
1.2,1074.0,5.4,784.0,79.0,1098.0,88.0,1483.0,1040.0,14.8,60.6,1.0148,1079398800,2004-03-16 01:00:00
0.8,968.0,2.8,640.0,43.0,1320.0,61.0,1386.0,867.0,14.8,59.2,0.9879,1079402400,2004-03-16 02:00:00
0.6,937.0,2.0,585.0,38.0,1412.0,52.0,1348.0,793.0,12.8,63.2,0.9283,1079413200,2004-03-16 05:00:00
0.9,1017.0,3.5,681.0,82.0,1246.0,64.0,1418.0,870.0,11.2,68.5,0.9081,1079416800,2004-03-16 06:00:00
1.3,1171.0,5.1,770.0,99.0,1162.0,70.0,1467.0,930.0,11.0,66.5,0.8705,1079420400,2004-03-16 07:00:00
3.4,1541.0,16.2,1185.0,263.0,770.0,97.0,1889.0,1407.0,11.7,63.7,0.8719,1079424000,2004-03-16 08:00:00
3.7,1539.0,19.7,1287.0,229.0,698.0,95.0,2055.0,1507.0,13.6,56.3,0.8743,1079427600,2004-03-16 09:00:00
5.3,1735.0,25.1,1431.0,396.0,628.0,150.0,2211.0,1843.0,17.8,42.9,0.8672,1079431200,2004-03-16 10:00:00
4.1,1571.0,20.0,1297.0,314.0,730.0,162.0,1973.0,1729.0,21.4,33.3,0.8417,1079434800,2004-03-16 11:00:00
3.3,1452.0,18.3,1250.0,217.0,776.0,154.0,1868.0,1583.0,24.4,27.4,0.8231,1079438400,2004-03-16 12:00:00
4.0,1579.0,22.3,1359.0,252.0,724.0,161.0,1998.0,1671.0,25.3,26.1,0.8264,1079442000,2004-03-16 13:00:00
3.8,1466.0,20.4,1309.0,263.0,773.0,161.0,1897.0,1491.0,25.8,23.2,0.7589,1079445600,2004-03-16 14:00:00
2.8,1280.0,14.6,1136.0,180.0,893.0,128.0,1675.0,1240.0,27.0,20.2,0.7094,1079449200,2004-03-16 15:00:00
2.9,1407.0,16.6,1197.0,184.0,905.0,129.0,1759.0,1313.0,28.2,18.6,0.7014,1079452800,2004-03-16 16:00:00
2.9,1389.0,15.8,1173.0,190.0,898.0,133.0,1739.0,1363.0,28.0,19.1,0.7098,1079456400,2004-03-16 17:00:00
3.4,1447.0,17.8,1235.0,184.0,859.0,139.0,1778.0,1296.0,23.9,25.7,0.7519,1079460000,2004-03-16 18:00:00
3.9,1551.0,19.1,1271.0,181.0,800.0,137.0,1875.0,1432.0,21.3,34.8,0.873,1079463600,2004-03-16 19:00:00
3.2,1474.0,15.8,1173.0,166.0,854.0,143.0,1776.0,1432.0,20.4,36.7,0.8704,1079467200,2004-03-16 20:00:00
2.6,1379.0,13.5,1101.0,184.0,818.0,138.0,1710.0,1602.0,17.9,45.9,0.9342,1079474400,2004-03-16 22:00:00
1.7,1201.0,9.1,943.0,130.0,935.0,117.0,1560.0,1362.0,16.7,48.9,0.9226,1079478000,2004-03-16 23:00:00
1.7,1205.0,8.6,925.0,132.0,922.0,107.0,1547.0,1314.0,15.5,52.9,0.9271,1079481600,2004-03-17 00:00:00
1.2,1072.0,5.4,784.0,95.0,1066.0,90.0,1442.0,1114.0,15.5,51.9,0.9059,1079485200,2004-03-17 01:00:00
0.9,998.0,4.1,714.0,70.0,1169.0,79.0,1383.0,992.0,14.1,55.6,0.891,1079488800,2004-03-17 02:00:00
0.5,869.0,1.6,554.0,28.0,1460.0,40.0,1268.0,667.0,11.8,58.0,0.8026,1079499600,2004-03-17 05:00:00
0.5,891.0,1.9,576.0,46.0,1417.0,53.0,1289.0,733.0,11.9,57.4,0.7978,1079503200,2004-03-17 06:00:00
1.6,1173.0,7.5,878.0,160.0,1038.0,84.0,1556.0,1052.0,9.9,65.2,0.7956,1079506800,2004-03-17 07:00:00
4.1,1587.0,21.4,1334.0,320.0,702.0,108.0,1999.0,1534.0,11.1,60.2,0.7958,1079510400,2004-03-17 08:00:00
4.3,1522.0,21.3,1331.0,280.0,703.0,134.0,2026.0,1734.0,17.7,40.1,0.8048,1079517600,2004-03-17 10:00:00
2.9,1438.0,15.4,1161.0,221.0,819.0,135.0,1782.0,1595.0,21.1,33.4,0.8265,1079521200,2004-03-17 11:00:00
2.5,1393.0,12.5,1067.0,210.0,905.0,142.0,1654.0,1490.0,24.3,28.3,0.8471,1079524800,2004-03-17 12:00:00
2.8,1452.0,15.1,1152.0,204.0,861.0,153.0,1747.0,1508.0,25.6,25.6,0.8254,1079528400,2004-03-17 13:00:00
2.6,1389.0,13.7,1108.0,161.0,887.0,123.0,1712.0,1334.0,25.9,25.9,0.8503,1079532000,2004-03-17 14:00:00
2.0,1207.0,10.4,994.0,135.0,1013.0,104.0,1520.0,1045.0,26.8,18.7,0.65,1079535600,2004-03-17 15:00:00
2.9,1365.0,15.2,1154.0,186.0,940.0,129.0,1679.0,1221.0,29.3,15.8,0.6309,1079539200,2004-03-17 16:00:00
2.5,1247.0,12.3,1060.0,147.0,1032.0,114.0,1525.0,1069.0,28.5,14.9,0.5708,1079542800,2004-03-17 17:00:00
5.0,1557.0,27.0,1478.0,299.0,793.0,158.0,1981.0,1569.0,25.9,16.0,0.5237,1079546400,2004-03-17 18:00:00
2.8,1444.0,15.0,1150.0,202.0,770.0,136.0,1727.0,1727.0,17.2,44.1,0.8558,1079560800,2004-03-17 22:00:00
2.6,1488.0,15.7,1171.0,178.0,731.0,127.0,1778.0,1705.0,16.0,50.9,0.9206,1079564400,2004-03-17 23:00:00
2.3,1371.0,13.0,1083.0,154.0,796.0,116.0,1669.0,1551.0,14.8,53.9,0.9024,1079568000,2004-03-18 00:00:00
1.4,1161.0,8.1,904.0,92.0,947.0,107.0,1502.0,1240.0,14.3,55.4,0.8975,1079571600,2004-03-18 01:00:00
1.0,1064.0,5.5,787.0,61.0,1057.0,88.0,1407.0,1115.0,14.8,52.1,0.8686,1079575200,2004-03-18 02:00:00
0.6,931.0,2.5,623.0,37.0,1293.0,57.0,1307.0,828.0,12.0,58.9,0.8233,1079586000,2004-03-18 05:00:00
0.7,938.0,3.0,650.0,68.0,1251.0,71.0,1333.0,893.0,10.9,62.1,0.8113,1079589600,2004-03-18 06:00:00
1.5,1166.0,7.7,885.0,139.0,1005.0,85.0,1551.0,1075.0,10.6,63.3,0.8067,1079593200,2004-03-18 07:00:00
4.7,1643.0,23.3,1384.0,339.0,667.0,124.0,2094.0,1610.0,11.5,60.0,0.8117,1079596800,2004-03-18 08:00:00
4.5,1617.0,21.3,1333.0,349.0,686.0,150.0,2010.0,1819.0,17.8,40.5,0.821,1079604000,2004-03-18 10:00:00
2.8,1473.0,14.3,1127.0,224.0,831.0,152.0,1752.0,1568.0,20.8,34.4,0.8365,1079607600,2004-03-18 11:00:00
2.2,1379.0,12.5,1068.0,171.0,899.0,139.0,1663.0,1374.0,23.8,28.2,0.8219,1079611200,2004-03-18 12:00:00
2.2,1385.0,12.2,1056.0,149.0,891.0,133.0,1648.0,1268.0,24.2,28.7,0.8515,1079614800,2004-03-18 13:00:00
2.3,1379.0,13.1,1087.0,137.0,901.0,126.0,1660.0,1144.0,25.2,24.9,0.7829,1079618400,2004-03-18 14:00:00
2.2,1322.0,14.4,1129.0,149.0,934.0,128.0,1639.0,1109.0,27.0,17.8,0.6275,1079622000,2004-03-18 15:00:00
2.8,1496.0,16.8,1205.0,172.0,822.0,169.0,1767.0,1347.0,27.1,23.1,0.818,1079625600,2004-03-18 16:00:00
2.7,1409.0,14.5,1131.0,166.0,873.0,149.0,1689.0,1206.0,25.8,23.9,0.7832,1079629200,2004-03-18 17:00:00
3.7,1513.0,21.5,1338.0,214.0,764.0,156.0,1957.0,1397.0,23.0,26.8,0.7446,1079632800,2004-03-18 18:00:00
5.1,1667.0,26.4,1464.0,280.0,683.0,168.0,2118.0,1588.0,20.7,31.1,0.7523,1079636400,2004-03-18 19:00:00
5.1,1667.0,26.0,1453.0,276.0,684.0,176.0,2051.0,1569.0,18.6,36.2,0.7676,1079640000,2004-03-18 20:00:00
3.2,1430.0,14.1,1121.0,178.0,814.0,135.0,1732.0,1322.0,16.0,48.4,0.8768,1079643600,2004-03-18 21:00:00
2.1,1333.0,10.3,989.0,129.0,885.0,121.0,1621.0,1194.0,14.5,57.8,0.9456,1079647200,2004-03-18 22:00:00
1.7,1262.0,8.3,911.0,95.0,948.0,99.0,1545.0,1062.0,13.1,64.2,0.9606,1079650800,2004-03-18 23:00:00
2.0,1287.0,8.9,936.0,126.0,918.0,106.0,1606.0,1040.0,12.0,69.7,0.9735,1079654400,2004-03-19 00:00:00
1.6,1134.0,6.6,840.0,103.0,1021.0,96.0,1501.0,917.0,11.9,71.1,0.9915,1079658000,2004-03-19 01:00:00
0.9,999.0,3.6,688.0,48.0,1229.0,63.0,1380.0,594.0,12.5,69.3,1.0029,1079661600,2004-03-19 02:00:00
0.7,969.0,2.3,607.0,56.0,1373.0,61.0,1324.0,438.0,12.3,66.3,0.9487,1079676000,2004-03-19 06:00:00
1.5,1182.0,6.7,845.0,115.0,1054.0,99.0,1539.0,704.0,12.4,64.9,0.9332,1079679600,2004-03-19 07:00:00
4.0,1427.0,19.2,1275.0,253.0,701.0,149.0,1980.0,1398.0,13.9,57.1,0.9032,1079690400,2004-03-19 10:00:00
3.3,1390.0,16.4,1191.0,218.0,759.0,135.0,1879.0,1268.0,14.5,54.4,0.8917,1079694000,2004-03-19 11:00:00
2.8,1283.0,14.0,1117.0,192.0,813.0,127.0,1751.0,1188.0,15.5,50.1,0.8744,1079697600,2004-03-19 12:00:00
3.0,1304.0,15.3,1157.0,176.0,793.0,122.0,1801.0,1171.0,16.1,47.6,0.8655,1079701200,2004-03-19 13:00:00
3.3,1364.0,16.7,1202.0,198.0,771.0,135.0,1875.0,1250.0,16.3,47.1,0.864,1079704800,2004-03-19 14:00:00
3.5,1410.0,19.0,1268.0,212.0,724.0,139.0,1957.0,1344.0,16.4,47.5,0.8791,1079708400,2004-03-19 15:00:00
4.0,1476.0,19.4,1280.0,249.0,708.0,147.0,1955.0,1378.0,16.1,50.2,0.9094,1079712000,2004-03-19 16:00:00
4.6,1522.0,20.9,1320.0,270.0,690.0,158.0,2005.0,1435.0,16.0,50.7,0.9142,1079715600,2004-03-19 17:00:00
4.1,1442.0,20.2,1301.0,231.0,704.0,146.0,1952.0,1372.0,15.8,50.3,0.8989,1079719200,2004-03-19 18:00:00
4.5,1469.0,21.7,1344.0,251.0,677.0,144.0,1997.0,1471.0,15.5,50.6,0.884,1079722800,2004-03-19 19:00:00
3.9,1467.0,19.8,1292.0,210.0,698.0,138.0,1942.0,1439.0,15.4,51.4,0.8956,1079726400,2004-03-19 20:00:00
4.0,1421.0,16.7,1202.0,249.0,748.0,143.0,1854.0,1429.0,15.2,53.1,0.9117,1079730000,2004-03-19 21:00:00
2.2,1175.0,9.1,945.0,143.0,904.0,116.0,1604.0,1081.0,14.7,57.6,0.9573,1079733600,2004-03-19 22:00:00
2.1,1215.0,8.3,912.0,127.0,948.0,109.0,1547.0,993.0,14.2,58.3,0.938,1079737200,2004-03-19 23:00:00
1.7,1127.0,5.8,802.0,104.0,1064.0,92.0,1447.0,837.0,13.8,57.9,0.9085,1079740800,2004-03-20 00:00:00
1.6,1090.0,5.2,773.0,86.0,1105.0,83.0,1429.0,761.0,13.9,55.9,0.8842,1079744400,2004-03-20 01:00:00
1.3,1017.0,4.1,718.0,74.0,1182.0,81.0,1382.0,650.0,13.9,55.6,0.8765,1079748000,2004-03-20 02:00:00
0.8,956.0,3.1,661.0,42.0,1260.0,53.0,1351.0,518.0,13.6,55.1,0.856,1079758800,2004-03-20 05:00:00
0.8,966.0,2.5,622.0,63.0,1317.0,67.0,1342.0,571.0,13.6,59.0,0.9129,1079762400,2004-03-20 06:00:00
1.1,1064.0,4.3,728.0,115.0,1161.0,91.0,1461.0,842.0,13.5,58.4,0.896,1079766000,2004-03-20 07:00:00
2.1,1300.0,8.9,935.0,170.0,902.0,113.0,1623.0,1145.0,13.8,58.0,0.9083,1079769600,2004-03-20 08:00:00
2.4,1348.0,10.5,998.0,147.0,834.0,102.0,1689.0,1218.0,14.6,53.1,0.8765,1079773200,2004-03-20 09:00:00
2.6,1425.0,12.5,1068.0,166.0,776.0,107.0,1764.0,1341.0,15.0,52.3,0.8881,1079776800,2004-03-20 10:00:00
2.8,1474.0,12.3,1061.0,195.0,768.0,113.0,1768.0,1406.0,15.4,52.1,0.9046,1079780400,2004-03-20 11:00:00
2.6,1490.0,11.7,1039.0,182.0,782.0,108.0,1757.0,1422.0,16.3,50.0,0.9158,1079784000,2004-03-20 12:00:00
2.6,1495.0,11.7,1040.0,168.0,809.0,105.0,1735.0,1373.0,17.1,47.9,0.9281,1079787600,2004-03-20 13:00:00
2.1,1376.0,9.3,953.0,125.0,900.0,93.0,1636.0,1153.0,19.0,42.9,0.937,1079791200,2004-03-20 14:00:00
1.7,1305.0,7.6,884.0,95.0,980.0,87.0,1573.0,927.0,19.5,42.3,0.9476,1079794800,2004-03-20 15:00:00
1.6,1283.0,6.7,844.0,79.0,1036.0,76.0,1539.0,766.0,19.5,42.3,0.9493,1079798400,2004-03-20 16:00:00
2.1,1392.0,9.7,967.0,119.0,930.0,94.0,1649.0,941.0,19.1,43.8,0.9556,1079802000,2004-03-20 17:00:00
