,datetimestamp,T,RH,AH,PT08.S1(CO),PT08.S2(NMHC),PT08.S3(NOx),PT08.S4(NO2),PT08.S5(O3),CO(GT)
25,1079053200,7.7,59.7,0.6308,1044.0,829.0,1247.0,1378.0,832.0,1.9
26,1079056800,7.1,61.8,0.6276,988.0,718.0,1396.0,1304.0,692.0,1.4
27,1079074800,6.4,65.1,0.6316,1091.0,730.0,1387.0,1361.0,748.0,1.4
28,1079078400,7.3,63.1,0.6499,1587.0,1236.0,897.0,1900.0,1400.0,4.4
29,1079085600,13.2,41.7,0.632,1350.0,1118.0,912.0,1712.0,1237.0,3.1
30,1079089200,14.3,38.4,0.6243,1263.0,1037.0,969.0,1598.0,1167.0,2.7
31,1079092800,15.0,36.5,0.6195,1206.0,986.0,1035.0,1537.0,959.0,2.1
32,1079096400,16.1,34.5,0.6262,1252.0,1016.0,1008.0,1593.0,983.0,2.5
33,1079100000,16.3,35.7,0.656,1287.0,1078.0,949.0,1660.0,1061.0,2.7
34,1079103600,15.8,37.0,0.661,1353.0,1122.0,922.0,1740.0,1139.0,2.9
35,1079107200,15.9,37.2,0.6657,1309.0,1073.0,954.0,1657.0,1112.0,2.8
36,1079110800,16.9,34.3,0.6549,1274.0,1041.0,1006.0,1610.0,994.0,2.4
37,1079114400,15.1,39.6,0.6766,1510.0,1277.0,812.0,1910.0,1410.0,3.9
38,1079118000,14.4,43.4,0.7084,1525.0,1246.0,821.0,1847.0,1448.0,3.7
39,1079125200,12.1,53.3,0.7536,1598.0,1299.0,752.0,1941.0,1627.0,4.4
40,1079128800,11.0,59.1,0.774,1484.0,1127.0,839.0,1723.0,1491.0,3.5
41,1079132400,9.7,64.6,0.7771,1677.0,1346.0,741.0,2062.0,1657.0,5.4
42,1079136000,9.5,64.1,0.7597,1280.0,964.0,963.0,1544.0,1285.0,2.7
43,1079139600,9.1,63.9,0.7423,1196.0,873.0,1071.0,1463.0,1144.0,1.9
44,1079143200,8.8,63.9,0.7256,1184.0,782.0,1176.0,1365.0,1043.0,1.6
45,1079154000,8.3,63.6,0.6982,978.0,625.0,1420.0,1274.0,819.0,1.0
46,1079157600,7.2,67.5,0.6887,1100.0,646.0,1406.0,1268.0,835.0,1.2
47,1079161200,6.3,71.9,0.6932,1112.0,770.0,1228.0,1409.0,940.0,1.5
48,1079164800,6.5,71.6,0.6945,1336.0,1043.0,935.0,1678.0,1192.0,2.7
49,1079168400,9.6,59.7,0.7124,1408.0,1153.0,830.0,1777.0,1411.0,3.7
50,1079172000,12.4,51.2,0.7335,1447.0,1081.0,869.0,1667.0,1465.0,3.2
51,1079175600,15.6,42.2,0.7451,1542.0,1184.0,808.0,1780.0,1583.0,4.1
52,1079179200,18.4,33.8,0.709,1451.0,1117.0,875.0,1679.0,1387.0,3.6
53,1079182800,19.4,31.3,0.695,1328.0,1059.0,987.0,1600.0,1101.0,2.8
54,1079186400,18.0,34.8,0.7127,1207.0,924.0,1088.0,1488.0,850.0,2.0
55,1079190000,18.4,33.6,0.7042,1240.0,947.0,1049.0,1532.0,947.0,2.0
56,1079193600,17.6,35.1,0.7012,1306.0,987.0,1004.0,1554.0,1078.0,2.5
57,1079197200,16.7,37.8,0.7117,1326.0,1000.0,976.0,1602.0,1084.0,2.3
58,1079200800,16.1,41.0,0.7451,1473.0,1163.0,831.0,1779.0,1395.0,3.2
59,1079204400,15.8,42.4,0.7569,1609.0,1286.0,758.0,1922.0,1612.0,4.2
60,1079208000,15.7,44.1,0.7786,1611.0,1274.0,754.0,1915.0,1697.0,4.2
61,1079211600,15.3,46.8,0.8091,1621.0,1247.0,762.0,1860.0,1886.0,4.2
62,1079215200,14.6,48.6,0.806,1444.0,1089.0,844.0,1748.0,1624.0,3.1
63,1079218800,14.7,49.3,0.8193,1418.0,1010.0,892.0,1603.0,1536.0,2.6
64,1079222400,13.9,53.6,0.8498,1534.0,1013.0,889.0,1611.0,1535.0,2.9
65,1079226000,14.6,51.5,0.8536,1484.0,1045.0,880.0,1624.0,1530.0,2.8
66,1079229600,12.5,58.9,0.8537,1367.0,925.0,953.0,1543.0,1337.0,2.5
67,1079240400,11.5,63.1,0.8533,1062.0,691.0,1272.0,1377.0,929.0,1.2
68,1079244000,11.6,62.2,0.8473,1076.0,618.0,1395.0,1333.0,872.0,1.0
69,1079247600,10.4,67.6,0.853,1028.0,615.0,1384.0,1340.0,853.0,0.9
70,1079251200,11.6,62.7,0.853,1155.0,722.0,1225.0,1414.0,959.0,1.4
71,1079254800,12.4,60.0,0.8627,1235.0,828.0,1055.0,1527.0,1093.0,1.6
72,1079258400,14.5,53.1,0.8728,1332.0,923.0,952.0,1614.0,1225.0,2.2
73,1079262000,16.9,46.1,0.8789,1445.0,1009.0,878.0,1696.0,1355.0,2.8
74,1079265600,19.3,38.3,0.8474,1416.0,1002.0,907.0,1677.0,1262.0,2.8
75,1079269200,21.2,31.4,0.7812,1281.0,880.0,1084.0,1525.0,980.0,2.0
76,1079272800,21.4,30.2,0.7616,1207.0,879.0,1104.0,1490.0,872.0,1.8
77,1079276400,21.9,29.0,0.7525,1258.0,906.0,1081.0,1511.0,900.0,1.9
78,1079280000,22.2,28.4,0.7516,1458.0,1045.0,974.0,1646.0,1099.0,3.0
79,1079283600,21.3,30.8,0.7696,1438.0,1051.0,943.0,1668.0,1206.0,2.9
80,1079287200,19.7,36.7,0.8307,1478.0,1055.0,929.0,1671.0,1262.0,2.5
81,1079298000,16.7,49.6,0.932,1560.0,1140.0,784.0,1818.0,1648.0,3.4
82,1079301600,16.3,51.0,0.9341,1324.0,940.0,924.0,1587.0,1423.0,2.1
83,1079305200,14.7,55.9,0.9314,1349.0,933.0,933.0,1617.0,1349.0,2.2
84,1079308800,14.8,54.7,0.9164,1239.0,872.0,985.0,1547.0,1250.0,1.8
85,1079312400,14.0,57.0,0.9094,1239.0,853.0,1010.0,1543.0,1174.0,1.8
86,1079316000,13.4,61.3,0.9361,1224.0,855.0,998.0,1566.0,1149.0,1.8
87,1079326800,11.9,67.4,0.9375,1075.0,703.0,1156.0,1464.0,1010.0,1.0
88,1079330400,11.4,70.5,0.9475,1157.0,830.0,1030.0,1584.0,1083.0,1.4
89,1079334000,11.3,70.2,0.9401,1314.0,966.0,897.0,1710.0,1235.0,2.2
90,1079348400,19.8,38.5,0.8801,1564.0,1300.0,710.0,2029.0,1798.0,4.2
91,1079352000,22.0,34.1,0.8904,1430.0,1120.0,831.0,1783.0,1522.0,3.1
92,1079355600,23.3,32.2,0.9096,1417.0,1146.0,830.0,1831.0,1404.0,2.9
93,1079359200,23.9,30.0,0.8757,1400.0,1162.0,838.0,1829.0,1263.0,2.9
94,1079362800,24.4,28.9,0.8736,1317.0,1053.0,926.0,1707.0,1137.0,2.5
95,1079366400,24.4,29.4,0.8848,1318.0,1033.0,950.0,1675.0,1068.0,2.3
96,1079370000,23.8,31.3,0.9137,1445.0,1141.0,857.0,1824.0,1252.0,2.8
97,1079384400,16.7,57.4,1.0786,1595.0,1294.0,678.0,2058.0,1707.0,4.2
98,1079388000,15.7,60.2,1.0654,1439.0,1159.0,764.0,1856.0,1494.0,3.2
99,1079391600,15.3,61.4,1.058,1142.0,852.0,1008.0,1547.0,1164.0,1.4
100,1079395200,14.1,65.7,1.0494,1304.0,1019.0,852.0,1731.0,1272.0,2.1
101,1079398800,14.8,60.6,1.0148,1074.0,784.0,1098.0,1483.0,1040.0,1.2
102,1079402400,14.8,59.2,0.9879,968.0,640.0,1320.0,1386.0,867.0,0.8
103,1079413200,12.8,63.2,0.9283,937.0,585.0,1412.0,1348.0,793.0,0.6
104,1079416800,11.2,68.5,0.9081,1017.0,681.0,1246.0,1418.0,870.0,0.9
105,1079420400,11.0,66.5,0.8705,1171.0,770.0,1162.0,1467.0,930.0,1.3
106,1079424000,11.7,63.7,0.8719,1541.0,1185.0,770.0,1889.0,1407.0,3.4
107,1079427600,13.6,56.3,0.8743,1539.0,1287.0,698.0,2055.0,1507.0,3.7
108,1079431200,17.8,42.9,0.8672,1735.0,1431.0,628.0,2211.0,1843.0,5.3
109,1079434800,21.4,33.3,0.8417,1571.0,1297.0,730.0,1973.0,1729.0,4.1
110,1079438400,24.4,27.4,0.8231,1452.0,1250.0,776.0,1868.0,1583.0,3.3
111,1079442000,25.3,26.1,0.8264,1579.0,1359.0,724.0,1998.0,1671.0,4.0
112,1079445600,25.8,23.2,0.7589,1466.0,1309.0,773.0,1897.0,1491.0,3.8
113,1079449200,27.0,20.2,0.7094,1280.0,1136.0,893.0,1675.0,1240.0,2.8
114,1079452800,28.2,18.6,0.7014,1407.0,1197.0,905.0,1759.0,1313.0,2.9
115,1079456400,28.0,19.1,0.7098,1389.0,1173.0,898.0,1739.0,1363.0,2.9
116,1079460000,23.9,25.7,0.7519,1447.0,1235.0,859.0,1778.0,1296.0,3.4
117,1079463600,21.3,34.8,0.873,1551.0,1271.0,800.0,1875.0,1432.0,3.9
118,1079467200,20.4,36.7,0.8704,1474.0,1173.0,854.0,1776.0,1432.0,3.2
119,1079474400,17.9,45.9,0.9342,1379.0,1101.0,818.0,1710.0,1602.0,2.6
120,1079478000,16.7,48.9,0.9226,1201.0,943.0,935.0,1560.0,1362.0,1.7
121,1079481600,15.5,52.9,0.9271,1205.0,925.0,922.0,1547.0,1314.0,1.7
122,1079485200,15.5,51.9,0.9059,1072.0,784.0,1066.0,1442.0,1114.0,1.2
123,1079488800,14.1,55.6,0.891,998.0,714.0,1169.0,1383.0,992.0,0.9
124,1079499600,11.8,58.0,0.8026,869.0,554.0,1460.0,1268.0,667.0,0.5
125,1079503200,11.9,57.4,0.7978,891.0,576.0,1417.0,1289.0,733.0,0.5
126,1079506800,9.9,65.2,0.7956,1173.0,878.0,1038.0,1556.0,1052.0,1.6
127,1079510400,11.1,60.2,0.7958,1587.0,1334.0,702.0,1999.0,1534.0,4.1
128,1079517600,17.7,40.1,0.8048,1522.0,1331.0,703.0,2026.0,1734.0,4.3
129,1079521200,21.1,33.4,0.8265,1438.0,1161.0,819.0,1782.0,1595.0,2.9
130,1079524800,24.3,28.3,0.8471,1393.0,1067.0,905.0,1654.0,1490.0,2.5
131,1079528400,25.6,25.6,0.8254,1452.0,1152.0,861.0,1747.0,1508.0,2.8
132,1079532000,25.9,25.9,0.8503,1389.0,1108.0,887.0,1712.0,1334.0,2.6
133,1079535600,26.8,18.7,0.65,1207.0,994.0,1013.0,1520.0,1045.0,2.0
134,1079539200,29.3,15.8,0.6309,1365.0,1154.0,940.0,1679.0,1221.0,2.9
135,1079542800,28.5,14.9,0.5708,1247.0,1060.0,1032.0,1525.0,1069.0,2.5
136,1079546400,25.9,16.0,0.5237,1557.0,1478.0,793.0,1981.0,1569.0,5.0
137,1079560800,17.2,44.1,0.8558,1444.0,1150.0,770.0,1727.0,1727.0,2.8
138,1079564400,16.0,50.9,0.9206,1488.0,1171.0,731.0,1778.0,1705.0,2.6
139,1079568000,14.8,53.9,0.9024,1371.0,1083.0,796.0,1669.0,1551.0,2.3
140,1079571600,14.3,55.4,0.8975,1161.0,904.0,947.0,1502.0,1240.0,1.4
141,1079575200,14.8,52.1,0.8686,1064.0,787.0,1057.0,1407.0,1115.0,1.0
142,1079586000,12.0,58.9,0.8233,931.0,623.0,1293.0,1307.0,828.0,0.6
143,1079589600,10.9,62.1,0.8113,938.0,650.0,1251.0,1333.0,893.0,0.7
144,1079593200,10.6,63.3,0.8067,1166.0,885.0,1005.0,1551.0,1075.0,1.5
145,1079596800,11.5,60.0,0.8117,1643.0,1384.0,667.0,2094.0,1610.0,4.7
146,1079604000,17.8,40.5,0.821,1617.0,1333.0,686.0,2010.0,1819.0,4.5
147,1079607600,20.8,34.4,0.8365,1473.0,1127.0,831.0,1752.0,1568.0,2.8
148,1079611200,23.8,28.2,0.8219,1379.0,1068.0,899.0,1663.0,1374.0,2.2
149,1079614800,24.2,28.7,0.8515,1385.0,1056.0,891.0,1648.0,1268.0,2.2
150,1079618400,25.2,24.9,0.7829,1379.0,1087.0,901.0,1660.0,1144.0,2.3
151,1079622000,27.0,17.8,0.6275,1322.0,1129.0,934.0,1639.0,1109.0,2.2
152,1079625600,27.1,23.1,0.818,1496.0,1205.0,822.0,1767.0,1347.0,2.8
153,1079629200,25.8,23.9,0.7832,1409.0,1131.0,873.0,1689.0,1206.0,2.7
154,1079632800,23.0,26.8,0.7446,1513.0,1338.0,764.0,1957.0,1397.0,3.7
155,1079636400,20.7,31.1,0.7523,1667.0,1464.0,683.0,2118.0,1588.0,5.1
156,1079640000,18.6,36.2,0.7676,1667.0,1453.0,684.0,2051.0,1569.0,5.1
157,1079643600,16.0,48.4,0.8768,1430.0,1121.0,814.0,1732.0,1322.0,3.2
158,1079647200,14.5,57.8,0.9456,1333.0,989.0,885.0,1621.0,1194.0,2.1
159,1079650800,13.1,64.2,0.9606,1262.0,911.0,948.0,1545.0,1062.0,1.7
160,1079654400,12.0,69.7,0.9735,1287.0,936.0,918.0,1606.0,1040.0,2.0
161,1079658000,11.9,71.1,0.9915,1134.0,840.0,1021.0,1501.0,917.0,1.6
162,1079661600,12.5,69.3,1.0029,999.0,688.0,1229.0,1380.0,594.0,0.9
163,1079676000,12.3,66.3,0.9487,969.0,607.0,1373.0,1324.0,438.0,0.7
164,1079679600,12.4,64.9,0.9332,1182.0,845.0,1054.0,1539.0,704.0,1.5
165,1079690400,13.9,57.1,0.9032,1427.0,1275.0,701.0,1980.0,1398.0,4.0
166,1079694000,14.5,54.4,0.8917,1390.0,1191.0,759.0,1879.0,1268.0,3.3
167,1079697600,15.5,50.1,0.8744,1283.0,1117.0,813.0,1751.0,1188.0,2.8
168,1079701200,16.1,47.6,0.8655,1304.0,1157.0,793.0,1801.0,1171.0,3.0
169,1079704800,16.3,47.1,0.864,1364.0,1202.0,771.0,1875.0,1250.0,3.3
170,1079708400,16.4,47.5,0.8791,1410.0,1268.0,724.0,1957.0,1344.0,3.5
171,1079712000,16.1,50.2,0.9094,1476.0,1280.0,708.0,1955.0,1378.0,4.0
172,1079715600,16.0,50.7,0.9142,1522.0,1320.0,690.0,2005.0,1435.0,4.6
173,1079719200,15.8,50.3,0.8989,1442.0,1301.0,704.0,1952.0,1372.0,4.1
174,1079722800,15.5,50.6,0.884,1469.0,1344.0,677.0,1997.0,1471.0,4.5
175,1079726400,15.4,51.4,0.8956,1467.0,1292.0,698.0,1942.0,1439.0,3.9
176,1079730000,15.2,53.1,0.9117,1421.0,1202.0,748.0,1854.0,1429.0,4.0
177,1079733600,14.7,57.6,0.9573,1175.0,945.0,904.0,1604.0,1081.0,2.2
178,1079737200,14.2,58.3,0.938,1215.0,912.0,948.0,1547.0,993.0,2.1
179,1079740800,13.8,57.9,0.9085,1127.0,802.0,1064.0,1447.0,837.0,1.7
180,1079744400,13.9,55.9,0.8842,1090.0,773.0,1105.0,1429.0,761.0,1.6
181,1079748000,13.9,55.6,0.8765,1017.0,718.0,1182.0,1382.0,650.0,1.3
182,1079758800,13.6,55.1,0.856,956.0,661.0,1260.0,1351.0,518.0,0.8
183,1079762400,13.6,59.0,0.9129,966.0,622.0,1317.0,1342.0,571.0,0.8
184,1079766000,13.5,58.4,0.896,1064.0,728.0,1161.0,1461.0,842.0,1.1
185,1079769600,13.8,58.0,0.9083,1300.0,935.0,902.0,1623.0,1145.0,2.1
186,1079773200,14.6,53.1,0.8765,1348.0,998.0,834.0,1689.0,1218.0,2.4
187,1079776800,15.0,52.3,0.8881,1425.0,1068.0,776.0,1764.0,1341.0,2.6
188,1079780400,15.4,52.1,0.9046,1474.0,1061.0,768.0,1768.0,1406.0,2.8
189,1079784000,16.3,50.0,0.9158,1490.0,1039.0,782.0,1757.0,1422.0,2.6
190,1079787600,17.1,47.9,0.9281,1495.0,1040.0,809.0,1735.0,1373.0,2.6
191,1079791200,19.0,42.9,0.937,1376.0,953.0,900.0,1636.0,1153.0,2.1
192,1079794800,19.5,42.3,0.9476,1305.0,884.0,980.0,1573.0,927.0,1.7
193,1079798400,19.5,42.3,0.9493,1283.0,844.0,1036.0,1539.0,766.0,1.6
194,1079802000,19.1,43.8,0.9556,1392.0,967.0,930.0,1649.0,941.0,2.1
195,1079805600,18.5,46.3,0.9744,1452.0,1063.0,856.0,1774.0,1146.0,2.3
196,1079809200,17.4,51.6,1.0159,1633.0,1199.0,734.0,1919.0,1417.0,3.5
197,1079812800,17.1,51.3,0.9914,1625.0,1191.0,733.0,1885.0,1442.0,3.9
198,1079816400,16.4,53.8,0.9964,1535.0,1108.0,785.0,1820.0,1323.0,3.3
199,1079820000,16.2,55.4,1.0132,1323.0,973.0,864.0,1712.0,1125.0,2.3
200,1079823600,15.9,57.7,1.0356,1309.0,937.0,905.0,1672.0,1036.0,2.1
201,1079827200,15.7,58.6,1.0396,1456.0,999.0,835.0,1714.0,1202.0,2.8
202,1079830800,15.1,60.9,1.0398,1300.0,872.0,941.0,1577.0,1054.0,2.1
203,1079834400,15.6,56.6,0.9951,1203.0,823.0,1004.0,1526.0,903.0,1.6
204,1079845200,14.9,60.6,1.0196,1062.0,711.0,1136.0,1461.0,700.0,1.1
205,1079848800,14.5,63.0,1.0316,947.0,594.0,1300.0,1390.0,580.0,0.7
206,1079852400,14.2,66.2,1.063,1065.0,687.0,1143.0,1492.0,815.0,0.8
207,1079856000,14.5,65.3,1.0704,1155.0,734.0,1062.0,1528.0,1035.0,1.2
208,1079859600,15.3,62.1,1.073,1220.0,782.0,996.0,1560.0,1067.0,1.4
209,1079863200,16.3,59.0,1.0868,1301.0,862.0,914.0,1633.0,1114.0,1.7
210,1079866800,18.9,49.6,1.07,1279.0,870.0,911.0,1646.0,1000.0,1.8
211,1079870400,19.4,46.1,1.0249,1267.0,883.0,953.0,1617.0,906.0,1.8
212,1079874000,20.8,41.6,1.0091,1239.0,848.0,981.0,1568.0,822.0,1.9
213,1079877600,21.4,40.3,1.0126,1128.0,742.0,1144.0,1507.0,610.0,1.3
214,1079881200,21.2,39.3,0.9791,1243.0,916.0,962.0,1669.0,657.0,1.6
215,1079884800,20.3,38.0,0.8942,1208.0,853.0,1060.0,1506.0,647.0,1.9
216,1079888400,19.4,41.3,0.9206,1306.0,938.0,961.0,1607.0,762.0,2.3
217,1079892000,18.5,43.8,0.9252,1546.0,1151.0,769.0,1874.0,1122.0,3.8
218,1079895600,17.8,48.1,0.9689,1501.0,1071.0,823.0,1744.0,1130.0,3.5
219,1079899200,17.9,46.9,0.952,1605.0,1153.0,769.0,1840.0,1637.0,4.3
220,1079902800,17.4,49.1,0.9688,1316.0,974.0,883.0,1673.0,1272.0,2.8
221,1079906400,17.0,51.7,0.9914,1195.0,898.0,933.0,1594.0,1098.0,1.9
222,1079910000,16.4,55.1,1.0198,1211.0,896.0,920.0,1624.0,1066.0,1.9
223,1079913600,16.1,60.0,1.0919,1161.0,815.0,995.0,1582.0,909.0,1.7
224,1079917200,15.8,60.5,1.0805,1095.0,767.0,1050.0,1547.0,818.0,1.5
225,1079920800,16.3,57.0,1.0491,897.0,563.0,1417.0,1355.0,472.0,0.6
226,1079935200,16.4,54.0,0.9979,942.0,586.0,1480.0,1373.0,432.0,0.6
227,1079938800,15.7,57.6,1.0195,1090.0,768.0,1072.0,1538.0,699.0,1.2
228,1079942400,15.8,53.7,0.9571,1514.0,1230.0,732.0,1996.0,1252.0,3.6
229,1079946000,17.4,42.1,0.8281,1379.0,1252.0,711.0,1962.0,1237.0,3.7
230,1079949600,17.9,38.4,0.7793,1074.0,854.0,1032.0,1484.0,772.0,1.8
231,1079953200,18.5,36.7,0.7764,1090.0,868.0,1026.0,1509.0,766.0,1.6
232,1079956800,21.0,29.6,0.7263,1110.0,964.0,947.0,1577.0,829.0,1.9
233,1079960400,21.3,28.1,0.7067,1102.0,994.0,955.0,1599.0,783.0,2.0
234,1079964000,21.3,26.1,0.6539,1100.0,1021.0,952.0,1607.0,822.0,2.2
235,1079967600,21.3,26.8,0.6681,1094.0,1003.0,965.0,1574.0,813.0,2.1
236,1079971200,21.3,24.2,0.606,1076.0,1034.0,964.0,1544.0,813.0,2.3
237,1079974800,20.2,28.5,0.6682,1152.0,1062.0,928.0,1606.0,850.0,2.6
238,1079978400,17.0,43.1,0.8264,1407.0,1249.0,720.0,1932.0,1276.0,3.8
239,1079982000,15.6,47.4,0.8347,1438.0,1325.0,678.0,1993.0,1401.0,4.4
240,1079985600,15.3,47.4,0.8178,1425.0,1325.0,678.0,1965.0,1356.0,4.5
241,1079989200,14.5,49.7,0.8177,1279.0,1131.0,775.0,1758.0,1243.0,3.3
242,1079992800,13.9,52.0,0.8231,1132.0,916.0,920.0,1561.0,1083.0,2.0
243,1079996400,14.5,49.4,0.8106,1006.0,729.0,1142.0,1370.0,795.0,1.1
244,1080000000,13.8,51.4,0.8071,982.0,700.0,1204.0,1359.0,735.0,0.9
245,1080003600,14.0,51.3,0.8163,969.0,636.0,1271.0,1309.0,684.0,0.8
246,1080007200,13.0,56.8,0.8444,941.0,621.0,1298.0,1330.0,714.0,0.7
247,1080021600,9.6,75.4,0.9004,909.0,567.0,1542.0,1287.0,418.0,0.5
248,1080025200,9.8,75.0,0.9093,1061.0,745.0,1178.0,1429.0,616.0,1.1
249,1080028800,10.0,74.2,0.9117,1441.0,1124.0,851.0,1829.0,1089.0,3.0
250,1080032400,11.2,69.7,0.9232,1498.0,1325.0,684.0,2095.0,1329.0,3.8
251,1080036000,12.0,62.9,0.8803,1343.0,1185.0,760.0,1857.0,1311.0,3.4
252,1080039600,12.8,55.8,0.821,1308.0,1166.0,792.0,1794.0,1236.0,3.0
253,1080043200,13.1,54.8,0.8234,1209.0,1097.0,837.0,1746.0,1147.0,2.7
254,1080046800,13.8,53.4,0.8351,1310.0,1207.0,770.0,1847.0,1301.0,3.5
255,1080050400,16.0,42.4,0.7674,1171.0,1064.0,881.0,1639.0,1097.0,2.8
256,1080054000,14.1,49.8,0.7971,1112.0,980.0,924.0,1589.0,900.0,1.9
257,1080057600,12.0,61.1,0.8537,1132.0,927.0,944.0,1570.0,781.0,2.0
258,1080061200,13.6,54.6,0.8465,1225.0,1111.0,818.0,1719.0,1013.0,3.0
259,1080064800,13.7,49.5,0.7695,1065.0,953.0,962.0,1514.0,790.0,1.9
260,1080068400,11.7,57.1,0.7822,1236.0,1084.0,854.0,1688.0,1059.0,2.7
261,1080072000,11.5,58.2,0.7867,1309.0,1126.0,812.0,1722.0,1205.0,3.3
262,1080075600,12.6,54.2,0.7881,1089.0,884.0,1006.0,1487.0,975.0,1.7
263,1080079200,12.0,54.9,0.7664,1000.0,776.0,1141.0,1375.0,896.0,1.3
264,1080082800,11.0,61.4,0.8057,1041.0,782.0,1105.0,1425.0,911.0,1.3
265,1080086400,11.1,62.2,0.8199,1045.0,756.0,1137.0,1411.0,902.0,1.2
266,1080090000,10.8,62.5,0.8082,997.0,744.0,1151.0,1405.0,832.0,1.1
267,1080093600,11.3,60.0,0.8025,948.0,634.0,1320.0,1326.0,715.0,0.9
268,1080108000,10.8,57.2,0.7382,954.0,561.0,1496.0,1255.0,612.0,0.8
269,1080111600,10.4,59.2,0.7455,1045.0,751.0,1186.0,1403.0,800.0,1.2
270,1080115200,11.0,57.3,0.7501,1383.0,1109.0,832.0,1706.0,1173.0,3.1
271,1080118800,11.2,56.9,0.7565,1597.0,1395.0,652.0,2080.0,1519.0,4.4
272,1080122400,12.1,54.9,0.7734,1318.0,1124.0,762.0,1770.0,1287.0,3.4
273,1080126000,15.1,44.3,0.7535,1138.0,898.0,950.0,1505.0,966.0,1.7
274,1080129600,15.6,40.6,0.7146,1098.0,842.0,1012.0,1440.0,828.0,1.5
275,1080133200,16.9,34.6,0.6597,1118.0,927.0,959.0,1477.0,825.0,1.7
276,1080136800,16.6,35.6,0.6697,1170.0,1009.0,879.0,1566.0,872.0,2.2
277,1080144000,9.6,81.1,0.972,1390.0,1028.0,829.0,1730.0,1002.0,2.7
278,1080147600,11.7,69.1,0.9497,1353.0,1096.0,774.0,1783.0,1159.0,2.8
279,1080151200,10.7,68.5,0.8794,1260.0,1050.0,828.0,1722.0,979.0,2.7
280,1080154800,10.7,67.3,0.8643,1501.0,1302.0,681.0,2008.0,1311.0,4.5
281,1080158400,10.8,65.7,0.8486,1273.0,1130.0,795.0,1744.0,1071.0,3.5
282,1080162000,10.3,66.3,0.8336,1179.0,955.0,928.0,1571.0,899.0,2.6
283,1080165600,10.1,66.9,0.8248,1047.0,809.0,1064.0,1435.0,766.0,1.7
284,1080169200,10.4,61.1,0.7717,973.0,739.0,1186.0,1354.0,589.0,1.3
285,1080172800,10.3,59.9,0.7516,997.0,737.0,1168.0,1341.0,631.0,1.3
286,1080176400,11.0,58.4,0.7686,970.0,621.0,1400.0,1249.0,479.0,1.0
287,1080180000,9.1,68.1,0.789,902.0,568.0,1450.0,1253.0,479.0,0.7
288,1080198000,8.1,79.0,0.8544,1038.0,697.0,1260.0,1383.0,605.0,1.1
289,1080201600,8.7,74.6,0.8429,1320.0,1035.0,902.0,1721.0,991.0,2.7
290,1080205200,8.6,75.1,0.8415,1353.0,1235.0,740.0,1937.0,1175.0,3.5
291,1080208800,9.7,69.7,0.8389,1133.0,933.0,969.0,1552.0,923.0,2.3
